Brand,Product_Name,Former_Price,Current_Price,Discount
Ray-Ban,RB7047,,,
Oakley,Plank2 0,,,
Oakley,Socket5 5,,,
Oakley,HolbrookRX,,,
Oakley,WheelHouse,,,
Ray-Ban,RB8908,,,
Ray-Ban,RB7229,,,30% Off
Oakley,PitchmanRCarbon-AlternateFit,,,
Ray-Ban,RB6645,,,
Ray-Ban,RB7260,,,
Ray-Ban,RB5154Clubmaster,,,
Persol,PO3189V,,,50% Off
Burberry,BE2315,,,50% Off
Persol,PO3297V,,,
Versace,VE1285,,,30% Off
Gucci,GG1340O,,,15% Off
Gucci,GG1221O,,,15% Off
KateSpade,Charlee,,,30% Off
KateSpade,Lucyann,,,30% Off
Burberry,BE2417,,,30% Off
Dolce&Gabbana,DG3415,,,30% Off
Versace,VE3373U,,,30% Off
RALPHbyRalphLauren,RA7158U,,,30% Off
Ray-Ban,RB7140,,,
